what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1243065492063
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1243065492063
stopped,bundle,org.eclipse.gmf.ecore.editor,2.0.100.v20080610-1132,org.eclipse.gmf.ecore.editor,1243065492063
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity,1243065492063
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.0.v200806112132,org.eclipse.uml2.diagram.component,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.0.v200806112132,org.eclipse.uml2.diagram.csd,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.0.v200806112132,org.eclipse.uml2.diagram.deploy,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.0.v200806112132,org.eclipse.uml2.diagram.profile,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.0.v200806112132,org.eclipse.uml2.diagram.statemachine,1243065492079
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase,1243065492079
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.1.0.v20080603-1553,org.eclipse.gmf.runtime.diagram.ui.render,1243065492079
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.printing.render,1243065492079
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime.ui,1243065492079
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime,1243065492079
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1243065492079
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1243065492079
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1243065492079
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.emfvm,1243065492079
stopped,bundle,org.eclipse.m2m.atl.adt.debug,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.debug,1243065492079
stopped,bundle,org.eclipse.m2m.atl.adt.perspective,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.perspective,1243065492094
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.common.ui,1243065492094
stopped,bundle,org.eclipse.m2m.qvt.oml.project,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.project,1243065492094
stopped,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1243065492094
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1243065492094
